(pc,x,y,z,f)
482:(8,0,2,3,0)
483:(8,0,3,1,0)
484:(8,0,3,2,0)
485:(8,0,3,3,0)
486:(8,0,4,1,0)
487:(8,0,4,2,0)
488:(8,0,4,3,0)
489:(8,0,5,1,0)
490:(8,0,5,2,0)
491:(8,0,5,3,0)
492:(8,1,0,1,0)
493:(8,1,0,2,0)
494:(8,1,0,3,0)
495:(8,1,1,1,0)
496:(8,1,1,2,0)
497:(8,1,1,3,0)
498:(8,1,2,1,0)
499:(8,1,2,2,0)
500:(8,1,2,3,0)
501:(8,1,3,1,0)
502:(8,1,3,2,0)
503:(8,1,3,3,0)
504:(8,1,4,1,0)
505:(8,1,4,2,0)
506:(8,1,4,3,0)
507:(8,1,5,1,0)
508:(8,1,5,2,0)
509:(8,1,5,3,0)
510:(8,2,0,1,0)
511:(8,2,0,2,0)
512:(8,2,0,3,0)
513:(8,2,1,1,0)
514:(8,2,1,2,0)
515:(8,2,1,3,0)
516:(8,2,2,1,0)
517:(8,2,2,2,0)
518:(8,2,2,3,0)
519:(8,2,3,1,0)
520:(8,2,3,2,0)
521:(8,2,3,3,0)
522:(8,2,4,1,0)
523:(8,2,4,2,0)
524:(8,2,4,3,0)
525:(8,2,5,1,0)
526:(8,2,5,2,0)
527:(8,2,5,3,0)
528:(8,3,0,1,0)
529:(8,3,0,2,0)
530:(8,3,0,3,0)
531:(8,3,1,1,0)
532:(8,3,1,2,0)
533:(8,3,1,3,0)
534:(8,3,2,1,0)
535:(8,3,2,2,0)
536:(8,3,2,3,0)
537:(8,3,3,1,0)
538:(8,3,3,2,0)
539:(8,3,3,3,0)
540:(8,3,4,1,0)
541:(8,3,4,2,0)
542:(8,3,4,3,0)
543:(8,3,5,1,0)
544:(8,3,5,2,0)
545:(8,3,5,3,0)
546:(9,-2,0,1,0)
547:(9,-2,0,1,1)
548:(9,-2,0,2,0)
549:(9,-2,0,2,1)
550:(9,-2,0,3,0)
551:(9,-2,0,3,1)
552:(9,-2,1,1,0)
553:(9,-2,1,1,1)
554:(9,-2,1,2,0)
555:(9,-2,1,2,1)
556:(9,-2,1,3,0)
557:(9,-2,1,3,1)
558:(9,-2,2,1,0)
559:(9,-2,2,1,1)
560:(9,-2,2,2,0)
561:(9,-2,2,2,1)
562:(9,-2,2,3,0)
563:(9,-2,2,3,1)
564:(9,-2,3,1,0)
565:(9,-2,3,1,1)
566:(9,-2,3,2,0)
567:(9,-2,3,2,1)
568:(9,-2,3,3,0)
569:(9,-2,3,3,1)
570:(9,-2,4,1,0)
571:(9,-2,4,1,1)
572:(9,-2,4,2,0)
573:(9,-2,4,2,1)
574:(9,-2,4,3,0)
575:(9,-2,4,3,1)
576:(9,-2,5,1,0)
577:(9,-2,5,1,1)
578:(9,-2,5,2,0)
579:(9,-2,5,2,1)
580:(9,-2,5,3,0)
581:(9,-2,5,3,1)
582:(9,-1,0,1,0)
583:(9,-1,0,1,1)
584:(9,-1,0,2,0)
585:(9,-1,0,2,1)
586:(9,-1,0,3,0)
587:(9,-1,0,3,1)
588:(9,-1,1,0,0)
589:(9,-1,1,0,1)
590:(9,-1,1,1,0)
591:(9,-1,1,1,1)
592:(9,-1,1,2,0)
593:(9,-1,1,2,1)
594:(9,-1,1,3,0)
595:(9,-1,1,3,1)
596:(9,-1,2,1,0)
597:(9,-1,2,1,1)
598:(9,-1,2,2,0)
599:(9,-1,2,2,1)
600:(9,-1,2,3,0)
601:(9,-1,2,3,1)
602:(9,-1,3,1,0)
603:(9,-1,3,1,1)
604:(9,-1,3,2,0)
605:(9,-1,3,2,1)
606:(9,-1,3,3,0)
607:(9,-1,3,3,1)
608:(9,-1,4,1,0)
609:(9,-1,4,1,1)
610:(9,-1,4,2,0)
611:(9,-1,4,2,1)
612:(9,-1,4,3,0)
613:(9,-1,4,3,1)
614:(9,-1,5,1,0)
615:(9,-1,5,1,1)
616:(9,-1,5,2,0)
617:(9,-1,5,2,1)
618:(9,-1,5,3,0)
619:(9,-1,5,3,1)
620:(9,0,0,1,0)
621:(9,0,0,1,1)
622:(9,0,0,2,0)
623:(9,0,0,2,1)
624:(9,0,0,3,0)
625:(9,0,0,3,1)
626:(9,0,1,1,0)
627:(9,0,1,1,1)
628:(9,0,1,2,0)
629:(9,0,1,2,1)
630:(9,0,1,3,0)
631:(9,0,1,3,1)
632:(9,0,2,1,0)
633:(9,0,2,1,1)
634:(9,0,2,2,0)
